ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
005930,107954.94,340500.0,215.41,155572645.14,227794500.0,0,2,3,미분류,287841.18,445817.65,-15.47,30.93,9.84,🟠 분할익절 고려 (추세 점검),,68.8,구름대 위 / MA 정배열,데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
360750,23732.88,733.24,-96.91,-19388696.52,618121.32,0,3,3,미분류,717.13,765.46,-2.2,4.39,-0.05,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.21) / ADX강세(31.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379810,13300.17,710.62,-94.66,-4985461.8,281405.52,0,3,3,미분류,682.19,767.48,-4.0,8.0,-0.42,🟣 추가매수 고려,,0.0,구름대 위 / BB하단(0.24) / ADX강세(26.1),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379800,13973.04,733.24,-94.75,-4276455.4,236836.52,0,3,3,미분류,717.13,765.46,-2.2,4.39,-0.05,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.21) / ADX강세(31.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
133690,169890.58,710.62,-99.58,-5921298.6,24871.7,0,3,3,미분류,682.19,767.48,-4.0,8.0,-0.42,🟣 추가매수 고려,,0.0,구름대 위 / BB하단(0.24) / ADX강세(26.1),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLX,40.32,32.47,-19.47,-1028.35,4253.57,0,2,0,미분류,55.9,-14.38,72.16,-144.29,-20.4,🔴 손절 고려,,0.0,BB하단(0.14) / ADX강세(50.6),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 184.2% (극고변동성),PCR 0.5 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,345.29,-5.61,-246.24,4143.48,0,2,3,🔴 약세,338.5,358.87,-1.97,3.93,-0.24,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.08) / RSI상승기울기(+5.6),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,미국,N/A,N/A,,,IV 5.4% (저변동성),PCR 0.45 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,11.42,-30.24,-1252.35,2889.26,0,2,-3,미분류,13.49,7.28,18.13,-36.25,-3.38,🔴 손절 고려,,0.0,BB하단(0.08) / ADX강세(29.3),데이터없음,0,없음,미국,N/A,N/A,,,⚠ IV 79.3% (고변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,372.4,12.07,240.72,2234.4,0,2,3,🟡 중립,365.16,386.89,-1.94,3.89,-1.76,🟠 분할익절 고려 (추세 점검),,73.5,구름대 위 / BB하단(0.18),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 54.7% (고변동성),PCR 3.82 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1434.95,-8.49,-133.05,1434.95,0,2,3,🟡 중립,1386.18,1532.48,-3.4,6.8,0.79,⚪ 보유 유지,,0.0,BB하단(0.10) / ADX강세(28.5),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 76.2% (고변동성),PCR 5.11 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
487230,19705.0,733.24,-96.28,-1441853.76,55726.24,0,3,3,미분류,717.13,765.46,-2.2,4.39,-0.05,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.21) / ADX강세(31.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
TSLA,413.75,375.53,-9.24,-152.88,1502.12,0,2,-1,🔴 약세,393.34,339.9,4.74,-9.49,-1.59,🔴 손절 고려,,0.0,BB하단(0.06) / ADX강세(26.9),⚠ 주의,1,매출채권↑>매출↑,미국,N/A,N/A,,,IV 4.2% (저변동성),PCR 0.9 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,392.5,-0.23,-2.76,1177.5,0,3,3,🟡 중립,333.8,509.89,-14.96,29.91,2.96,🟣 추가매수 고려,,-0.8,구름대 위 / MA 정배열 / OBV상승(1.04x),⚠ 주의,2,현금<총부채 / 우선주존재,미국,N/A,N/A,,,🚨 IV 96.5% (극고변동성),PCR 0.97 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
458730,13707.26,733.24,-94.65,-1492012.3,84322.6,0,3,3,미분류,717.13,765.46,-2.2,4.39,-0.05,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.21) / ADX강세(31.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
NVDA,186.78,199.0,6.54,61.1,995.0,0,1,3,🟡 중립,199.17,198.66,0.09,-0.17,-0.52,🔴 손절 고려,,102.9,BB하단(0.11),⚠ 주의,2,현금<총부채 / 재고↑이익↓,미국,N/A,N/A,,,IV 12.0% (저변동성),PCR 0.89 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
464310,15771.0,710.62,-95.49,-1189770.02,56138.98,0,3,3,미분류,682.19,767.48,-4.0,8.0,-0.42,🟣 추가매수 고려,,0.0,구름대 위 / BB하단(0.24) / ADX강세(26.1),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
465580,21390.0,733.24,-96.57,-970867.72,34462.28,0,3,3,미분류,717.13,765.46,-2.2,4.39,-0.05,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.21) / ADX강세(31.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLB,65.07,85.41,31.26,142.38,597.87,0,2,1,🟢 강세,94.18,67.86,10.27,-20.55,-10.21,🔴 손절 고려,,729.0,BB하단(0.06) / ADX강세(48.5),⚠ 주의,2,재고↑이익↓ / 우선주존재,미국,N/A,N/A,,,🚨 IV 83.3% (극고변동성),PCR 1.09 (비관적),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
0131V0,12790.0,12925.0,1.06,7965.0,762575.0,0,4,0,미분류,12882.4,13010.21,-0.33,0.66,3.23,🟠 분할익절 고려 (추세 점검),,61.3,Stoch GC(K=27) / BB하단(0.19) / RSI상승기울기(+6.5) / ADX강세(29.8),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
