date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-06-25,MU,1213.56,6,10,1,3,🟢 강세,상승추세,987.84,-18.6,1665.01,37.2,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+10.6) / OBV상승(1.04x),BB상단(1.02),C,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+10.6) / OBV상승(1.04x),⚠ 주의,3.97,True,⭐⭐,22.5,1,현금<총부채,14,🔥 최우선,시총:대형 $1370.6B / PEG:0.31 ⭐⭐⭐ (성장대비 저평가) / PSR:23.58 (섹터 고평가) / PER:27.4 ⭐ (섹터 적정) / ForwardPER:9.4 ⭐⭐ (섹터 저평가) / PER개선:Trailing 27.4 → Forward 9.4 ⭐ (이익개선) / EPS성장:+997.6% ⭐⭐⭐ / OPM:26.2% (▲21.0%p) ⭐⭐ / 목표주가:$1365 (▲12.5%) ⭐ / 내부자:순매수 ⭐ / IV:⚠ IV 78.6% (고변동성) / PCR:PCR 0.96 (중립),,85,⚠ IV 78.6% (고변동성),PCR 0.96 (중립),True,🟢 정상 구간,정상 시장 환경,Semiconductors
2026-06-25,APH,165.15,5,9,0,3,🟢 강세,상승추세,151.98,-7.97,191.5,15.96,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.1) / OBV상승(1.13x) / ADX강세(46.3),없음,C,구름대 위 / MA 정배열 / RSI상승기울기(+6.1) / OBV상승(1.13x) / ADX강세(46.3),⚠ 주의,1.48,True,⭐,46.3,2,현금<총부채 / 재고↑이익↓,9,🔥 최우선,시총:대형 $203.2B / PEG:1.39 ⭐ (적정) / PSR:7.84 (섹터 고평가) / PER:47.5 (섹터 고평가) / ForwardPER:29.0 (섹터 고평가) / PER개선:Trailing 47.5 → Forward 29.0 ⭐ (이익개선) / EPS성장:+76.2% ⭐⭐⭐ / OPM:25.9% (▲4.3%p) ⭐⭐ / 목표주가:$183 (▲11.0%) ⭐ / 내부자:순매수 ⭐ / IV:⚠ IV 51.6% (고변동성) / PCR:PCR 5.4 (비관적),,85,⚠ IV 51.6% (고변동성),PCR 5.4 (비관적),True,🟢 정상 구간,정상 시장 환경,Electronic Components
2026-06-25,ABBV,243.14,5,9,1,3,🟢 강세,완전상승,229.3,-5.69,270.81,11.38,2.0,구름대 위 / MA 정배열 / 거래량급증(1.6x) / OBV상승(1.44x) / ADX강세(28.7),BB상단(1.15),C,구름대 위 / MA 정배열 / 거래량급증(1.6x) / OBV상승(1.44x) / ADX강세(28.7),🔴 위험,-0.16,True,⭐,28.7,5,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓ / 단기부채>현금 / 자본잠식,10,🔥 최우선,시총:대형 $429.6B / PEG:0.65 ⭐⭐⭐ (성장대비 저평가) / PSR:6.84 ⭐ (섹터 적정) / PER:119.2 (섹터 고평가) / ForwardPER:14.9 ⭐⭐ (섹터 저평가) / PER개선:Trailing 119.2 → Forward 14.9 ⭐ (이익개선) / EPS성장:-1.2% / OPM:32.8% (▲11.7%p) ⭐⭐ / 목표주가:$254 (▲4.6%) / 내부자:순매수 ⭐ / IV:IV 39.3% (보통) / PCR:PCR 0.06 (낙관적/과열주의),,85,IV 39.3% (보통),PCR 0.06 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Drug Manufacturers - General
2026-06-25,BIIB,201.96,5,9,1,3,🟢 강세,완전상승,189.92,-5.96,226.03,11.92,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(-2.03x),BB상단(0.92),C,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(-2.03x),⚠ 주의,-0.05,True,⭐,12.3,1,현금<총부채,9,🔥 최우선,시총:중형 $29.8B ⭐ / PEG:3.94 (고평가) / PSR:3.00 ⭐⭐ (섹터 저평가) / PER:21.7 ⭐ (섹터 적정) / ForwardPER:12.1 ⭐⭐ (섹터 저평가) / PER개선:Trailing 21.7 → Forward 12.1 ⭐ (이익개선) / EPS성장:-20.8% / OPM:25.0% (▲1.4%p) ⭐ / 목표주가:$220 (▲9.1%) / 내부자:순매수 ⭐ / IV:⚠ IV 61.4% (고변동성) / PCR:PCR 0.42 (낙관적/과열주의),,85,⚠ IV 61.4% (고변동성),PCR 0.42 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Drug Manufacturers - General
2026-06-25,KEYS,360.06,5,9,0,3,🟢 강세,상승추세,330.77,-8.13,418.65,16.27,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.7) / OBV상승(1.04x),없음,C,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.7) / OBV상승(1.04x),⚠ 주의,1.63,True,⭐,19.7,1,현금<총부채,8,🔥 최우선,시총:중형 $61.5B ⭐ / PEG:1.51 ⭐ (적정) / PSR:10.11 (섹터 고평가) / PER:57.9 (섹터 고평가) / ForwardPER:30.4 ⭐ (섹터 적정) / PER개선:Trailing 57.9 → Forward 30.4 ⭐ (이익개선) / EPS성장:+38.4% ⭐⭐⭐ / OPM:16.3% (▼0.4%p) / 목표주가:$383 (▲6.4%) / 내부자:순매수 ⭐ / IV:IV 48.5% (보통) / PCR:PCR 0.17 (낙관적/과열주의),,85,IV 48.5% (보통),PCR 0.17 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
2026-06-25,GLW,228.01,5,9,1,3,🟢 강세,상승추세,192.37,-15.63,299.28,31.26,2.0,구름대 위 / MA 정배열 / 거래량급증(1.6x) / RSI상승기울기(+11.5) / OBV상승(1.07x),BB상단(1.17),C,구름대 위 / MA 정배열 / 거래량급증(1.6x) / RSI상승기울기(+11.5) / OBV상승(1.07x),⚠ 주의,3.32,True,⭐,24.8,2,현금<총부채 / 매출채권↑>매출↑,8,🔥 최우선,시총:대형 $196.2B / PEG:1.61 ⭐ (적정) / PSR:12.02 (섹터 고평가) / PER:109.6 (섹터 고평가) / ForwardPER:54.3 (섹터 고평가) / PER개선:Trailing 109.6 → Forward 54.3 ⭐ (이익개선) / EPS성장:+215.4% ⭐⭐⭐ / OPM:14.6% (▲5.9%p) ⭐⭐ / 목표주가:$202 (▲-11.5%) / 내부자:순매수 ⭐ / IV:⚠ IV 72.7% (고변동성) / PCR:PCR 0.64 (중립),,85,⚠ IV 72.7% (고변동성),PCR 0.64 (중립),True,🟢 정상 구간,정상 시장 환경,Electronic Components
2026-06-25,KIM,25.52,5,9,0,3,🟢 강세,완전상승,24.54,-3.84,27.48,7.68,2.0,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.52x) / ADX강세(27.9),없음,A,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.52x) / ADX강세(27.9),⚠ 주의,-0.01,True,⭐,27.9,2,현금<총부채 / 우선주존재,8,🔥 최우선,시총:중형 $17.2B ⭐ / PEG:3.37 (고평가) / PSR:7.96 ⭐ (섹터 적정) / PER:29.3 ⭐ (섹터 적정) / ForwardPER:29.5 ⭐ (섹터 적정) / EPS성장:+42.3% ⭐⭐⭐ / OPM:33.5% (▼1.3%p) / 목표주가:$26 (▲1.5%) / 내부자:순매수 ⭐ / IV:IV 28.0% (저변동성) / PCR:PCR 0.14 (낙관적/과열주의),,85,IV 28.0% (저변동성),PCR 0.14 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,REIT - Retail
2026-06-25,PPG,122.4,5,9,1,3,🟢 강세,완전상승,115.09,-5.97,137.02,11.94,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+10.1) / OBV상승(2.15x) / ADX강세(28.5),BB상단(0.93),A,구름대 위 / MA 정배열 / RSI상승기울기(+10.1) / OBV상승(2.15x) / ADX강세(28.5),⚠ 주의,1.47,True,⭐,28.5,2,현금<총부채 / 매출채권↑>매출↑,11,🔥 최우선,시총:중형 $27.3B ⭐ / PEG:1.84 ⭐ (적정) / PSR:1.69 ⭐ (섹터 적정) / PER:17.5 ⭐ (섹터 적정) / ForwardPER:14.1 ⭐⭐ (섹터 저평가) / PER개선:Trailing 17.5 → Forward 14.1 ⭐ (이익개선) / EPS성장:+41.2% ⭐⭐⭐ / OPM:13.7% (▼0.8%p) / 목표주가:$124 (▲0.9%) / 내부자:순매수 ⭐ / IV:⚠ IV 59.4% (고변동성) / PCR:PCR 0.17 (낙관적/과열주의),,85,⚠ IV 59.4% (고변동성),PCR 0.17 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Specialty Chemicals
2026-06-25,DGX,206.24,5,9,1,3,🟢 강세,완전상승,196.59,-4.68,225.55,9.36,2.0,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+7.0) / ADX강세(30.9),BB상단(0.93),C,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+7.0) / ADX강세(30.9),⚠ 주의,-0.17,True,⭐,30.9,2,현금<총부채 / 단기부채>현금,10,🔥 최우선,시총:중형 $22.8B ⭐ / PEG:1.56 ⭐ (적정) / PSR:2.02 ⭐⭐ (섹터 저평가) / PER:22.8 ⭐ (섹터 적정) / ForwardPER:17.7 ⭐⭐ (섹터 저평가) / PER개선:Trailing 22.8 → Forward 17.7 ⭐ (이익개선) / EPS성장:+13.9% ⭐ / OPM:14.1% (▼0.5%p) / 목표주가:$223 (▲8.3%) / 내부자:순매수 ⭐ / IV:IV 30.7% (보통) / PCR:PCR 0.16 (낙관적/과열주의),,85,IV 30.7% (보통),PCR 0.16 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Diagnostics & Research
2026-06-25,CRL,212.71,5,9,1,3,🟢 강세,완전상승,195.5,-8.09,247.12,16.18,2.0,구름대 위 / MA 정배열 / 거래량급증(1.9x) / OBV상승(0.78x) / ADX강세(31.0),BB상단(1.32),C,구름대 위 / MA 정배열 / 거래량급증(1.9x) / OBV상승(0.78x) / ADX강세(31.0),⚠ 주의,1.18,True,⭐,31.0,2,현금<총부채 / 재고↑이익↓,9,🔥 최우선,시총:중형 $10.2B ⭐ / PEG:0.12 ⭐⭐⭐ (성장대비 저평가) / PSR:2.54 ⭐⭐ (섹터 저평가) / PER:N/A / ForwardPER:17.3 ⭐⭐ (섹터 저평가) / EPS성장:N/A / OPM:10.0% (▼0.9%p) / 목표주가:$215 (▲1.2%) / 내부자:순매수 ⭐ / IV:⚠ IV 52.0% (고변동성) / PCR:PCR 0.96 (중립),,85,⚠ IV 52.0% (고변동성),PCR 0.96 (중립),True,🟢 정상 구간,정상 시장 환경,Diagnostics & Research
